titulo,url,data,adicoes,delecoes,tags
release(core): 1.2.22,https://github.com/langchain-ai/langchain/pull/36201,2026-03-24,3,3,"core, release, dependencies, internal, size: XS"
"fix(core): validate paths in `prompt.save` and `load_prompt`, deprecate methods",https://github.com/langchain-ai/langchain/pull/36200,2026-03-24,337,37,"core, fix, internal, size: M"
chore(model-profiles): refresh model profile data,https://github.com/langchain-ai/langchain/pull/36195,2026-03-24,67,847,"integration, infra, model-profiles, fireworks, internal, openrouter, bot, size: L"
chore: use repo permissions instead of org membership for maintainer override,https://github.com/langchain-ai/langchain/pull/36191,2026-03-24,15,9,"infra, github_actions, internal, size: XS"
chore(partners): bump `langchain-core` min to `1.2.21`,https://github.com/langchain-ai/langchain/pull/36183,2026-03-23,19,19,"integration, infra, dependencies, anthropic, chroma, deepseek, exa, fireworks, groq, huggingface"
fix(openai): bump min core version,https://github.com/langchain-ai/langchain/pull/36180,2026-03-23,2,2,"integration, dependencies, fix, openai, internal, size: XS"
release(core): 1.2.21,https://github.com/langchain-ai/langchain/pull/36179,2026-03-23,3,3,"core, release, dependencies, internal, size: XS"
release(openai): 1.1.12,https://github.com/langchain-ai/langchain/pull/36178,2026-03-23,3,3,"integration, release, dependencies, openai, internal, size: XS"
chore(core): remove stale blockbuster allowlist for deleted context module,https://github.com/langchain-ai/langchain/pull/36168,2026-03-23,0,3,"core, infra, internal, size: XS"
fix(openai): support phase parameter,https://github.com/langchain-ai/langchain/pull/36161,2026-03-22,133,18,"integration, fix, openai, internal, size: S"
chore(model-profiles): refresh model profile data,https://github.com/langchain-ai/langchain/pull/36152,2026-03-22,6,9,"integration, infra, model-profiles, xai, internal, bot, size: XS"
ci: add maintainer override to `require-issue-link` workflow,https://github.com/langchain-ai/langchain/pull/36147,2026-03-22,151,51,"infra, github_actions, internal, size: M"
refactor(partners): adopt `_resolve_model_profile` hook,https://github.com/langchain-ai/langchain/pull/36131,2026-03-23,59,92,"integration, github_actions, refactor, model-profiles, anthropic, deepseek, fireworks, groq, huggingface, mistralai"
"fix(core,model-profiles): add missing `ModelProfile` fields, warn on schema drift",https://github.com/langchain-ai/langchain/pull/36129,2026-03-23,488,122,"integration, core, langchain, github_actions, fix, model-profiles, anthropic, deepseek, fireworks, groq"
chore(model-profiles): refresh model profile data,https://github.com/langchain-ai/langchain/pull/36123,2026-03-20,86,0,"integration, infra, model-profiles, internal, openrouter, bot, size: S"
ci: respect maintainer reopens on auto-closed PRs,https://github.com/langchain-ai/langchain/pull/36115,2026-03-19,39,34,"infra, github_actions, internal, size: S"
ci: skip excluded files when applying package labels in `pr-labeler`,https://github.com/langchain-ai/langchain/pull/36114,2026-03-19,31,24,"infra, internal, size: S"
chore(text-splitters): bump nltk in lock file,https://github.com/langchain-ai/langchain/pull/36112,2026-03-19,1,1,"infra, text-splitters, internal, size: XS"
release(langchain): 1.2.13,https://github.com/langchain-ai/langchain/pull/36111,2026-03-19,62,6,"langchain, release, dependencies, internal, size: XS"
fix(openai): preserve namespace field in streaming function_call chunks,https://github.com/langchain-ai/langchain/pull/36108,2026-03-20,206,10,"integration, fix, openai, external, size: M, missing-issue-link"
chore(model-profiles): refresh model profile data,https://github.com/langchain-ai/langchain/pull/36099,2026-03-19,21,1,"integration, infra, model-profiles, xai, internal, openrouter, bot, size: XS"
